chrom	start	end	genomeScore	label
chrX	48608850	48608875	3.88	H3K27ac
chrX	48608875	48608900	1.8	H3K27ac
chrX	48608950	48608975	0.24	H3K27ac
chrX	48608975	48609025	1	H3K27ac
chrX	48609025	48609050	1.16	H3K27ac
chrX	48609050	48609075	2	H3K27ac
chrX	48609075	48609100	2.2	H3K27ac
chrX	48609100	48609150	3	H3K27ac
chrX	48609150	48609175	2.32	H3K27ac
chrX	48609175	48609225	2	H3K27ac
chrX	48609225	48609250	1.4	H3K27ac
chrX	48609250	48609275	2.2	H3K27ac
chrX	48609275	48609300	4.36	H3K27ac
chrX	48609300	48609425	4	H3K27ac
chrX	48609425	48609450	4.16	H3K27ac
chrX	48609450	48609475	2.04	H3K27ac
chrX	48609475	48609625	1	H3K27ac
chrX	48609625	48609650	0.4	H3K27ac
chrX	48609800	48609825	1.76	H3K27ac
chrX	48609825	48609875	2	H3K27ac
chrX	48609875	48609900	3.6	H3K27ac
chrX	48609900	48609925	4.68	H3K27ac
chrX	48609925	48609975	5	H3K27ac
chrX	48609975	48610000	6.56	H3K27ac
chrX	48610000	48610050	6	H3K27ac
chrX	48610050	48610075	6.48	H3K27ac
chrX	48610075	48610100	5.72	H3K27ac
chrX	48610100	48610150	6	H3K27ac
chrX	48610150	48610175	5.12	H3K27ac
chrX	48610175	48610200	3.36	H3K27ac
chrX	48610200	48610225	4.28	H3K27ac
chrX	48610225	48610250	4.6	H3K27ac
chrX	48610250	48610275	4.2	H3K27ac
chrX	48610275	48610300	4.52	H3K27ac
chrX	48610300	48610375	5	H3K27ac
chrX	48610375	48610400	4.84	H3K27ac
chrX	48610400	48610425	3.52	H3K27ac
chrX	48610425	48610450	4.52	H3K27ac
chrX	48610450	48610475	4.24	H3K27ac
chrX	48610475	48610500	2	H3K27ac
chrX	48610500	48610525	2.92	H3K27ac
chrX	48610525	48610550	3.24	H3K27ac
chrX	48610550	48610575	4.68	H3K27ac
chrX	48610575	48610600	5	H3K27ac
chrX	48610600	48610625	4.04	H3K27ac
chrX	48610625	48610650	3.04	H3K27ac
chrX	48610650	48610675	3	H3K27ac
chrX	48610675	48610700	2.64	H3K27ac
chrX	48610700	48610725	2.32	H3K27ac
chrX	48610725	48610750	2.2	H3K27ac
chrX	48610750	48610775	1	H3K27ac
chrX	48610775	48610800	1.76	H3K27ac
chrX	48610800	48610850	2	H3K27ac
chrX	48610850	48610875	2.76	H3K27ac
chrX	48610875	48610900	3	H3K27ac
chrX	48610900	48610925	2.24	H3K27ac
chrX	48610925	48610950	2.92	H3K27ac
chrX	48610950	48611025	3	H3K27ac
chrX	48611025	48611050	2.8	H3K27ac
chrX	48611050	48611100	2	H3K27ac
chrX	48611100	48611125	1.64	H3K27ac
chrX	48611125	48611150	1	H3K27ac
chrX	48611150	48611175	0.36	H3K27ac
chrX	48611475	48611500	0.24	H3K27ac
chrX	48611500	48611675	1	H3K27ac
chrX	48611675	48611700	0.32	H3K27ac
chrX	48611800	48611825	0.4	H3K27ac
chrX	48611825	48611850	1.72	H3K27ac
chrX	48611850	48611875	2.4	H3K27ac
chrX	48611875	48611950	3	H3K27ac
chrX	48611950	48611975	3.16	H3K27ac
chrX	48611975	48612000	4.8	H3K27ac
chrX	48612000	48612025	4	H3K27ac
chrX	48612025	48612050	3	H3K27ac
chrX	48612050	48612075	2.16	H3K27ac
chrX	48612075	48612100	2.4	H3K27ac
chrX	48612100	48612150	3	H3K27ac
chrX	48612150	48612175	2.16	H3K27ac
chrX	48612175	48612225	1	H3K27ac
chrX	48612225	48612250	1.88	H3K27ac
chrX	48612250	48612275	2	H3K27ac
chrX	48612275	48612300	1.28	H3K27ac
chrX	48612300	48612375	2	H3K27ac
chrX	48612375	48612400	2.04	H3K27ac
chrX	48612400	48612425	2.68	H3K27ac
chrX	48612425	48612450	2.12	H3K27ac
chrX	48612450	48612475	3.4	H3K27ac
chrX	48612475	48612500	3.44	H3K27ac
chrX	48612500	48612525	3.04	H3K27ac
chrX	48612525	48612550	4	H3K27ac
chrX	48612550	48612575	4.2	H3K27ac
chrX	48612575	48612600	4.52	H3K27ac
chrX	48612600	48612625	4	H3K27ac
chrX	48612625	48612650	3.44	H3K27ac
chrX	48612650	48612675	2.16	H3K27ac
chrX	48612675	48612700	2	H3K27ac
chrX	48612700	48612725	1.52	H3K27ac
chrX	48612725	48612750	1	H3K27ac
chrX	48612750	48612775	0.36	H3K27ac
chrX	48612800	48612825	0.48	H3K27ac
chrX	48612825	48612850	1	H3K27ac
chrX	48612850	48612875	1.44	H3K27ac
chrX	48612875	48612975	2	H3K27ac
chrX	48612975	48613000	2.88	H3K27ac
chrX	48613000	48613025	2.08	H3K27ac
chrX	48613025	48613050	2	H3K27ac
chrX	48613050	48613075	1.12	H3K27ac
chrX	48613075	48613150	1	H3K27ac
chrX	48613150	48613175	1.28	H3K27ac
chrX	48613175	48613250	1	H3K27ac
chrX	48613250	48613275	1.32	H3K27ac
chrX	48613275	48613300	2.56	H3K27ac
chrX	48613300	48613325	4	H3K27ac
chrX	48613325	48613350	3.96	H3K27ac
chrX	48613350	48613450	3	H3K27ac
chrX	48613450	48613475	2.24	H3K27ac
chrX	48613475	48613500	0.56	H3K27ac
chrX	48613875	48613900	0.48	H3K27ac
chrX	48613900	48614075	1	H3K27ac
chrX	48614075	48614100	0.08	H3K27ac
chrX	48614300	48614325	0.16	H3K27ac
chrX	48614325	48614500	1	H3K27ac
chrX	48614500	48614525	0.4	H3K27ac
chrX	48614600	48614625	0.24	H3K27ac
chrX	48614625	48614800	1	H3K27ac
chrX	48614800	48614825	0.32	H3K27ac
chrX	48614825	48614850	0.84	H3K27ac
chrX	48614850	48614875	1.48	H3K27ac
chrX	48614875	48614975	2	H3K27ac
chrX	48614975	48615000	3.32	H3K27ac
chrX	48615000	48615025	4.68	H3K27ac
chrX	48615025	48615050	5	H3K27ac
chrX	48615050	48615075	4.08	H3K27ac
chrX	48615075	48615150	4	H3K27ac
chrX	48615150	48615175	3.64	H3K27ac
chrX	48615175	48615200	2.16	H3K27ac
chrX	48615200	48615225	0.16	H3K27ac
chrX	48615400	48615425	0.72	H3K27ac
chrX	48615425	48615575	1	H3K27ac
chrX	48615575	48615600	1.68	H3K27ac
chrX	48615600	48615625	1	H3K27ac
chrX	48615625	48615650	2.6	H3K27ac
chrX	48615650	48615750	5	H3K27ac
chrX	48615750	48615775	4.72	H3K27ac
chrX	48615775	48615800	4.92	H3K27ac
chrX	48615800	48615825	4.76	H3K27ac
chrX	48615825	48615850	1.88	H3K27ac
chrX	48615850	48615950	1	H3K27ac
chrX	48615950	48615975	0.64	H3K27ac
chrX	48615975	48616000	0.28	H3K27ac
chrX	48616000	48616175	1	H3K27ac
chrX	48616175	48616200	0.28	H3K27ac
chrX	48616550	48616575	0.08	H3K27ac
chrX	48616575	48616650	1	H3K27ac
chrX	48616650	48616750	2	H3K27ac
chrX	48616750	48616775	3.4	H3K27ac
chrX	48616775	48616825	3	H3K27ac
chrX	48616825	48616850	3.32	H3K27ac
chrX	48616850	48616875	3.2	H3K27ac
chrX	48616875	48616925	4	H3K27ac
chrX	48616925	48616950	3.2	H3K27ac
chrX	48616950	48616975	2	H3K27ac
chrX	48616975	48617000	2.44	H3K27ac
chrX	48617000	48617025	2.8	H3K27ac
chrX	48617025	48617050	2	H3K27ac
chrX	48617050	48617075	1.36	H3K27ac
chrX	48617075	48617100	1	H3K27ac
chrX	48617100	48617125	1.68	H3K27ac
chrX	48617125	48617175	2	H3K27ac
chrX	48617175	48617200	1.12	H3K27ac
chrX	48617200	48617275	1	H3K27ac
chrX	48617275	48617300	0.88	H3K27ac
chrX	48617300	48617325	0.16	H3K27ac
chrX	48617325	48617500	1	H3K27ac
chrX	48617500	48617525	1.04	H3K27ac
chrX	48617525	48617550	1	H3K27ac
chrX	48617550	48617575	1.12	H3K27ac
chrX	48617575	48617675	2	H3K27ac
chrX	48617675	48617700	2.44	H3K27ac
chrX	48617700	48617750	2	H3K27ac
chrX	48617750	48617775	1.44	H3K27ac
chrX	48617775	48617875	1	H3K27ac
chrX	48617875	48617900	0.44	H3K27ac
chrX	48617900	48618050	1	H3K27ac
chrX	48618050	48618075	1.56	H3K27ac
chrX	48618075	48618100	1.16	H3K27ac
chrX	48618100	48618250	1	H3K27ac
chrX	48618950	48618975	0.56	H3K27ac
chrX	48618975	48619150	1	H3K27ac
chrX	48619375	48619400	0.12	H3K27ac
chrX	48619400	48619575	1	H3K27ac
chrX	48619575	48619600	0.44	H3K27ac
chrX	48619625	48619650	2.12	H3K27ac
chrX	48619650	48619750	3	H3K27ac
chrX	48619750	48619775	3.88	H3K27ac
chrX	48619775	48619800	4	H3K27ac
chrX	48619800	48619825	3.56	H3K27ac
chrX	48619825	48619925	1	H3K27ac
chrX	48619925	48619950	0.72	H3K27ac
chrX	48619950	48619975	1.36	H3K27ac
chrX	48619975	48620000	3	H3K27ac
chrX	48620000	48620025	3.56	H3K27ac
chrX	48620025	48620075	4	H3K27ac
chrX	48620075	48620100	4.6	H3K27ac
chrX	48620100	48620125	6.96	H3K27ac
chrX	48620125	48620150	7.92	H3K27ac
chrX	48620150	48620175	9.36	H3K27ac
chrX	48620175	48620200	10.56	H3K27ac
chrX	48620200	48620225	10.76	H3K27ac
chrX	48620225	48620250	11	H3K27ac
chrX	48620250	48620275	12.6	H3K27ac
chrX	48620275	48620300	11.12	H3K27ac
chrX	48620300	48620325	9.88	H3K27ac
chrX	48620325	48620350	6.92	H3K27ac
chrX	48620350	48620375	4.6	H3K27ac
chrX	48620375	48620400	5.4	H3K27ac
chrX	48620400	48620425	6.44	H3K27ac
chrX	48620425	48620450	6.52	H3K27ac
chrX	48620450	48620475	5.52	H3K27ac
chrX	48620475	48620500	6.92	H3K27ac
chrX	48620500	48620525	7.24	H3K27ac
chrX	48620525	48620550	8.76	H3K27ac
chrX	48620550	48620575	8.32	H3K27ac
chrX	48620575	48620600	6.44	H3K27ac
chrX	48620600	48620625	8.64	H3K27ac
chrX	48620625	48620650	10	H3K27ac
chrX	48620650	48620675	9.6	H3K27ac
chrX	48620675	48620700	9.32	H3K27ac
chrX	48620700	48620725	9.12	H3K27ac
chrX	48620725	48620750	8	H3K27ac
chrX	48620750	48620775	7.4	H3K27ac
chrX	48620775	48620800	5.72	H3K27ac
chrX	48620800	48620825	2.56	H3K27ac
chrX	48620825	48620850	1.64	H3K27ac
chrX	48620850	48620875	1	H3K27ac
chrX	48620875	48620900	0.24	H3K27ac
chrX	48620950	48620975	0.36	H3K27ac
chrX	48620975	48621000	1	H3K27ac
chrX	48621000	48621025	1.52	H3K27ac
chrX	48621025	48621100	2	H3K27ac
chrX	48621100	48621125	2.84	H3K27ac
chrX	48621125	48621150	4	H3K27ac
chrX	48621150	48621175	3.72	H3K27ac
chrX	48621175	48621200	4.84	H3K27ac
chrX	48621200	48621225	4.08	H3K27ac
chrX	48621225	48621300	5	H3K27ac
chrX	48621300	48621325	3.28	H3K27ac
chrX	48621325	48621350	3.04	H3K27ac
chrX	48621350	48621375	2.76	H3K27ac
chrX	48621375	48621400	2	H3K27ac
chrX	48621400	48621425	1.52	H3K27ac
chrX	48621425	48621525	1	H3K27ac
chrX	48621525	48621550	0.52	H3K27ac
chrX	48621725	48621750	1.32	H3K27ac
chrX	48621750	48621900	2	H3K27ac
chrX	48621900	48621925	1.76	H3K27ac
chrX	48621925	48621950	0.04	H3K27ac
chrX	48622075	48622100	0.96	H3K27ac
chrX	48622100	48622250	1	H3K27ac
chrX	48622250	48622275	0.6	H3K27ac
chrX	48622300	48622325	1.6	H3K27ac
chrX	48622325	48622400	2	H3K27ac
chrX	48622400	48622425	3.48	H3K27ac
chrX	48622425	48622450	4	H3K27ac
chrX	48622450	48622475	4.44	H3K27ac
chrX	48622475	48622500	5.4	H3K27ac
chrX	48622500	48622525	4	H3K27ac
chrX	48622525	48622550	4.48	H3K27ac
chrX	48622550	48622575	5.32	H3K27ac
chrX	48622575	48622600	5.64	H3K27ac
chrX	48622600	48622625	4	H3K27ac
chrX	48622625	48622650	4.44	H3K27ac
chrX	48622650	48622675	4.8	H3K27ac
chrX	48622675	48622725	4	H3K27ac
chrX	48622725	48622750	3.08	H3K27ac
chrX	48622750	48622775	2.24	H3K27ac
chrX	48622775	48622825	2	H3K27ac
chrX	48622825	48622850	0.68	H3K27ac
chrX	48623300	48623325	0.24	H3K27ac
chrX	48623325	48623350	1.96	H3K27ac
chrX	48623350	48623375	2.08	H3K27ac
chrX	48623375	48623400	4.96	H3K27ac
chrX	48623400	48623425	6	H3K27ac
chrX	48623425	48623475	7	H3K27ac
chrX	48623475	48623500	8.2	H3K27ac
chrX	48623500	48623525	8.52	H3K27ac
chrX	48623525	48623550	9	H3K27ac
chrX	48623550	48623575	9.04	H3K27ac
chrX	48623575	48623600	6.24	H3K27ac
chrX	48623600	48623625	8.04	H3K27ac
chrX	48623625	48623650	9.08	H3K27ac
chrX	48623650	48623675	9.92	H3K27ac
chrX	48623675	48623700	7.96	H3K27ac
chrX	48623700	48623725	6.72	H3K27ac
chrX	48623725	48623750	6.04	H3K27ac
chrX	48623750	48623775	6.88	H3K27ac
chrX	48623775	48623800	6.12	H3K27ac
chrX	48623800	48623825	3.64	H3K27ac
chrX	48623825	48623850	3.28	H3K27ac
chrX	48623850	48623900	4	H3K27ac
chrX	48623900	48623925	3.92	H3K27ac
chrX	48623925	48623950	2.68	H3K27ac
chrX	48623950	48623975	2.32	H3K27ac
chrX	48623975	48624000	4	H3K27ac
chrX	48624000	48624025	9.4	H3K27ac
chrX	48624025	48624050	11.64	H3K27ac
chrX	48624050	48624075	12.52	H3K27ac
chrX	48624075	48624100	13.36	H3K27ac
chrX	48624100	48624125	14.04	H3K27ac
chrX	48624125	48624150	15.16	H3K27ac
chrX	48624150	48624175	15.32	H3K27ac
chrX	48624175	48624200	13.16	H3K27ac
chrX	48624200	48624225	8.6	H3K27ac
chrX	48624225	48624250	7.56	H3K27ac
chrX	48624250	48624300	8.2	H3K27ac
chrX	48624300	48624325	7.52	H3K27ac
chrX	48624325	48624350	7.28	H3K27ac
chrX	48624350	48624375	7.24	H3K27ac
chrX	48624375	48624400	6.2	H3K27ac
chrX	48624400	48624425	6.96	H3K27ac
chrX	48624425	48624450	4.12	H3K27ac
chrX	48624450	48624475	3.4	H3K27ac
chrX	48624475	48624500	3.52	H3K27ac
chrX	48624500	48624525	3.68	H3K27ac
chrX	48624525	48624550	3.6	H3K27ac
chrX	48624550	48624575	3	H3K27ac
chrX	48624575	48624600	2.6	H3K27ac
chrX	48624600	48624675	2	H3K27ac
chrX	48624675	48624700	1.04	H3K27ac
chrX	48624700	48624725	0.72	H3K27ac
chrX	48625300	48625325	0.64	H3K27ac
chrX	48625325	48625400	1	H3K27ac
chrX	48625400	48625425	1.16	H3K27ac
chrX	48625425	48625450	2.12	H3K27ac
chrX	48625450	48625475	3	H3K27ac
chrX	48625475	48625500	2.92	H3K27ac
chrX	48625500	48625575	2	H3K27ac
chrX	48625575	48625600	2.28	H3K27ac
chrX	48625600	48625625	2.4	H3K27ac
chrX	48625625	48625650	1.6	H3K27ac
chrX	48625650	48625675	3.4	H3K27ac
chrX	48625675	48625775	4	H3K27ac
chrX	48625775	48625800	3.28	H3K27ac
chrX	48625800	48625825	3	H3K27ac
chrX	48625825	48625850	1.96	H3K27ac
chrX	48625850	48625875	0.16	H3K27ac
chrX	48625950	48625975	0.72	H3K27ac
chrX	48625975	48626125	1	H3K27ac
chrX	48626125	48626150	0.84	H3K27ac
chrX	48626200	48626225	0.68	H3K27ac
chrX	48626225	48626325	1	H3K27ac
chrX	48626325	48626350	2.92	H3K27ac
chrX	48626350	48626375	4	H3K27ac
chrX	48626375	48626400	3.88	H3K27ac
chrX	48626400	48626425	3.76	H3K27ac
chrX	48626425	48626450	4	H3K27ac
chrX	48626450	48626475	4.88	H3K27ac
chrX	48626475	48626500	6.2	H3K27ac
chrX	48626500	48626525	8	H3K27ac
chrX	48626525	48626575	6	H3K27ac
chrX	48626575	48626600	5.8	H3K27ac
chrX	48626600	48626625	5	H3K27ac
chrX	48626625	48626650	4.88	H3K27ac
chrX	48626650	48626675	4.12	H3K27ac
chrX	48626675	48626700	4.24	H3K27ac
chrX	48626700	48626725	2	H3K27ac
chrX	48626725	48626750	2.44	H3K27ac
chrX	48626750	48626825	3	H3K27ac
chrX	48626825	48626850	4.68	H3K27ac
chrX	48626850	48626875	4.72	H3K27ac
chrX	48626875	48626900	5	H3K27ac
chrX	48626900	48626925	5.32	H3K27ac
chrX	48626925	48626950	5.44	H3K27ac
chrX	48626950	48626975	6.28	H3K27ac
chrX	48626975	48627000	7	H3K27ac
chrX	48627000	48627025	7.04	H3K27ac
chrX	48627025	48627050	5.36	H3K27ac
chrX	48627050	48627075	4.28	H3K27ac
chrX	48627075	48627100	5.64	H3K27ac
chrX	48627100	48627125	6.24	H3K27ac
chrX	48627125	48627150	5.4	H3K27ac
chrX	48627150	48627175	5.28	H3K27ac
chrX	48627175	48627200	5	H3K27ac
chrX	48627200	48627225	4.08	H3K27ac
chrX	48627225	48627250	4	H3K27ac
chrX	48627250	48627275	3.68	H3K27ac
chrX	48627275	48627300	1.36	H3K27ac
chrX	48627300	48627325	1	H3K27ac
chrX	48627325	48627350	0.4	H3K27ac
chrX	48627550	48627575	0.52	H3K27ac
chrX	48627575	48627700	1	H3K27ac
chrX	48627700	48627725	1.08	H3K27ac
chrX	48627725	48627750	2	H3K27ac
chrX	48627750	48627775	1.04	H3K27ac
chrX	48627775	48627900	1	H3K27ac
chrX	48627900	48627925	0.48	H3K27ac
chrX	48627975	48628000	0.88	H3K27ac
chrX	48628000	48628150	2	H3K27ac
chrX	48628150	48628175	1.72	H3K27ac
chrX	48628175	48628200	1.08	H3K27ac
chrX	48628200	48628225	1	H3K27ac
chrX	48628225	48628250	1.32	H3K27ac
chrX	48628250	48628275	2.84	H3K27ac
chrX	48628275	48628375	3	H3K27ac
chrX	48628375	48628425	2	H3K27ac
chrX	48628425	48628450	0.96	H3K27ac
chrX	48628675	48628700	0.92	H3K27ac
chrX	48628700	48628725	3.56	H3K27ac
chrX	48628725	48628750	7.28	H3K27ac
chrX	48628750	48628775	9.2	H3K27ac
chrX	48628775	48628800	12	H3K27ac
chrX	48628800	48628825	12.88	H3K27ac
chrX	48628825	48628850	14.92	H3K27ac
chrX	48628850	48628875	14.64	H3K27ac
chrX	48628875	48628900	13.44	H3K27ac
chrX	48628900	48628925	11.36	H3K27ac
chrX	48628925	48628950	10.44	H3K27ac
chrX	48628950	48628975	8.52	H3K27ac
chrX	48628975	48629000	10	H3K27ac
chrX	48629000	48629025	7.92	H3K27ac
chrX	48629025	48629050	8.6	H3K27ac
chrX	48629050	48629075	9.88	H3K27ac
chrX	48629075	48629100	11.44	H3K27ac
chrX	48629100	48629125	12.16	H3K27ac
chrX	48629125	48629150	14.04	H3K27ac
chrX	48629150	48629175	13.44	H3K27ac
chrX	48629175	48629200	13.72	H3K27ac
chrX	48629200	48629225	14.04	H3K27ac
chrX	48629225	48629250	15.88	H3K27ac
chrX	48629250	48629275	19.6	H3K27ac
chrX	48629275	48629300	18.6	H3K27ac
chrX	48629300	48629325	20	H3K27ac
chrX	48629325	48629350	20.92	H3K27ac
chrX	48629350	48629375	26.04	H3K27ac
chrX	48629375	48629400	30.04	H3K27ac
chrX	48629400	48629425	33.64	H3K27ac
chrX	48629425	48629450	35.6	H3K27ac
chrX	48629450	48629475	36.56	H3K27ac
chrX	48629475	48629500	35.52	H3K27ac
chrX	48629500	48629525	31.8	H3K27ac
chrX	48629525	48629550	27.2	H3K27ac
chrX	48629550	48629575	21.92	H3K27ac
chrX	48629575	48629600	18.6	H3K27ac
chrX	48629600	48629625	10.76	H3K27ac
chrX	48629625	48629650	5.96	H3K27ac
chrX	48629650	48629675	2.48	H3K27ac
chrX	48629675	48629700	2.56	H3K27ac
chrX	48629700	48629725	2.92	H3K27ac
chrX	48629725	48629750	4	H3K27ac
chrX	48629750	48629775	3.48	H3K27ac
chrX	48629775	48629825	4	H3K27ac
chrX	48629825	48629850	4.96	H3K27ac
chrX	48629850	48629875	5	H3K27ac
chrX	48629875	48629900	4	H3K27ac
chrX	48629900	48629925	2.64	H3K27ac
chrX	48629925	48629950	2	H3K27ac
chrX	48629950	48629975	1.28	H3K27ac
chrX	48629975	48630000	1	H3K27ac
chrX	48630000	48630025	1.52	H3K27ac
chrX	48630025	48630050	1.8	H3K27ac
chrX	48630050	48630075	2	H3K27ac
chrX	48630075	48630100	2.08	H3K27ac
chrX	48630100	48630125	4.64	H3K27ac
chrX	48630125	48630150	6.68	H3K27ac
chrX	48630150	48630175	8.52	H3K27ac
chrX	48630175	48630200	9.64	H3K27ac
chrX	48630200	48630225	8.76	H3K27ac
chrX	48630225	48630250	8	H3K27ac
chrX	48630250	48630275	8.44	H3K27ac
chrX	48630275	48630300	8.16	H3K27ac
chrX	48630300	48630325	7.44	H3K27ac
chrX	48630325	48630350	6.16	H3K27ac
chrX	48630350	48630375	6.92	H3K27ac
chrX	48630375	48630400	7	H3K27ac
chrX	48630400	48630425	7.72	H3K27ac
chrX	48630425	48630450	9	H3K27ac
chrX	48630450	48630475	8.12	H3K27ac
chrX	48630475	48630500	7.04	H3K27ac
chrX	48630500	48630525	6	H3K27ac
chrX	48630525	48630550	3.96	H3K27ac
chrX	48630550	48630575	2.24	H3K27ac
chrX	48630575	48630600	2	H3K27ac
chrX	48630600	48630625	0.4	H3K27ac
chrX	48630850	48630875	0.2	H3K27ac
chrX	48630875	48630900	2.2	H3K27ac
chrX	48630900	48630950	3	H3K27ac
chrX	48630950	48630975	4.6	H3K27ac
chrX	48630975	48631050	5	H3K27ac
chrX	48631050	48631075	3.92	H3K27ac
chrX	48631075	48631100	3.28	H3K27ac
chrX	48631100	48631125	3	H3K27ac
chrX	48631125	48631150	2.52	H3K27ac
chrX	48631150	48631175	1.44	H3K27ac
chrX	48631175	48631250	2	H3K27ac
chrX	48631250	48631275	1.64	H3K27ac
chrX	48631275	48631350	1	H3K27ac
chrX	48631350	48631375	1.12	H3K27ac
chrX	48631375	48631525	1	H3K27ac
chrX	48631525	48631550	0.6	H3K27ac
chrX	48631550	48631650	1	H3K27ac
chrX	48631650	48631675	1.64	H3K27ac
chrX	48631675	48631700	3.04	H3K27ac
chrX	48631700	48631725	4.24	H3K27ac
chrX	48631725	48631750	4.52	H3K27ac
chrX	48631750	48631775	4	H3K27ac
chrX	48631775	48631800	4.2	H3K27ac
chrX	48631800	48631825	5	H3K27ac
chrX	48631825	48631850	4.92	H3K27ac
chrX	48631850	48631875	3.76	H3K27ac
chrX	48631875	48631900	2.56	H3K27ac
chrX	48631900	48631925	2.32	H3K27ac
chrX	48631925	48631975	2	H3K27ac
chrX	48631975	48632000	1.36	H3K27ac
chrX	48632000	48632025	1	H3K27ac
chrX	48632025	48632050	1.48	H3K27ac
chrX	48632050	48632075	2	H3K27ac
chrX	48632075	48632100	1.32	H3K27ac
chrX	48632100	48632225	1	H3K27ac
chrX	48632225	48632250	0.08	H3K27ac
chrX	48632275	48632300	0.08	H3K27ac
chrX	48632300	48632325	1.68	H3K27ac
chrX	48632325	48632350	2.08	H3K27ac
chrX	48632350	48632475	4	H3K27ac
chrX	48632475	48632500	3.36	H3K27ac
chrX	48632500	48632525	2	H3K27ac
chrX	48632525	48632550	1.04	H3K27ac
chrX	48632575	48632600	0.08	H3K27ac
chrX	48632600	48632675	1	H3K27ac
chrX	48632675	48632700	1.72	H3K27ac
chrX	48632700	48632775	2	H3K27ac
chrX	48632775	48632800	1.48	H3K27ac
chrX	48632800	48632850	1	H3K27ac
chrX	48632850	48632875	0.84	H3K27ac
chrX	48633175	48633200	0.36	H3K27ac
chrX	48633200	48633250	1	H3K27ac
chrX	48633250	48633275	1.24	H3K27ac
chrX	48633275	48633350	2	H3K27ac
chrX	48633350	48633375	2.16	H3K27ac
